鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
溪口鄉,房地(土地+建物),坪頂村溪民路25巷31~60號,107.19,,,,1091130,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,175.59,4,2,5,有,無,7900000,44991,,0.0,0,,RPPNMLMLKIPFFCQ66DA,158.01,17.58,0.0,無,
大林鎮,土地,排子路段排子路小段691~720地號,5667.03,,特定農業區,農牧用地,1091123,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7600000,1341,,0.0,0,,RPPNMLLLKIPFFCQ56DA,0.0,0.0,0.0,無,
民雄鄉,房地(土地+建物),大崎村大丘園91~120號,220.0,都市：其他:農,,,1091128,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0700313,58.43,2,2,1,有,無,2600000,44498,,0.0,0,,RPOOMLKKKIPFFCQ98DA,58.43,0.0,0.0,無,
新港鄉,土地,海豐子段海豐小段931~960地號,1151.0,,特定農業區,農牧用地,1091121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,1129,,0.0,0,,RPQNMLNLKIPFFCQ86DA,0.0,0.0,0.0,無,0086
中埔鄉,土地,石頭厝段1~30地號,77.33,,特定農業區,甲種建築用地,1091215,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,701000,9065,,0.0,0,,RPQOMLPKKIPFFDQ17DA,0.0,0.0,0.0,無,
太保市,土地,嘉太段421~450地號,205.37,都市：其他:住宅區,,,1091215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,8278,,0.0,0,本案增值稅由買方負擔.稅金為639354元整,RPQNMLNLKIPFFDQ96DA,0.0,0.0,0.0,無,
阿里山鄉,土地,樂野段241~270地號,623.0,,山坡地保育區,農牧用地,1091215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,482,,0.0,0,,RPQNMLMLKIPFFEQ96DA,0.0,0.0,0.0,無,
民雄鄉,土地,民北段151~180地號,104.0,都市：其他:住,,,1091013,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,25962,,0.0,0,未登記建物；,RPTNMLOLKIPFFCQ37EA,0.0,0.0,0.0,無,
民雄鄉,土地,菁埔段菁埤小段1~30地號,108.4,,特定農業區,農牧用地,1091125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,131288,1211,,0.0,0,地清或未辦繼承標售；,RPTNMLMLKIPFFCQ17EA,0.0,0.0,0.0,無,
民雄鄉,土地,鴨母,542712.09,,特定專用區,特定目的事業用地,1091110,土地71建物0車位0,,,其他,,,,0.0,0,0,0,有,無,602312806,1110,,0.0,0,政府機關標讓售；,RPTNMLTJKIPFFCQ67EA,0.0,0.0,0.0,無,
竹崎鄉,土地,金獅寮段61~90地號,122.85,,森林區,農牧用地,1091214,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,814,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLKIPFFEQ07EA,0.0,0.0,0.0,無,
梅山鄉,土地,梅南段1291~1320地號,213.13,都市：其他:住,,,1091201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4190000,19659,,0.0,0,,RPRNMLOLKIPFFEQ37EA,0.0,0.0,0.0,無,0087
竹崎鄉,土地,樟樹坪段61~90地號,2063.0,,山坡地保育區,農牧用地,1091126,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,388,,0.0,0,,RPSNMLPLKIPFFEQ57EA,0.0,0.0,0.0,無,
竹崎鄉,房地(土地+建物),灣橋村4鄰朴子埔121~150號,66.69,,鄉村區,乙種建築用地,1091120,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701118,89.64,4,2,2,有,無,1700000,18965,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLMLKIPFFEQ17EA,89.64,0.0,0.0,無,
中埔鄉,土地,北興段1411~1440地號,77.49,都市：其他:道路,,,1091018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,58072,,0.0,0,包含公共設施保留地用地；,RPPNMLLKKIPFFDQ66EA,0.0,0.0,0.0,無,
鹿草鄉,土地,頂潭段頂潭小段421~450地號,3112.0,,特定農業區,農牧用地,1091209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2469600,794,,0.0,0,,RPPNMLNLKIPFFDQ96EA,0.0,0.0,0.0,無,
水上鄉,土地,崎子頭段崎子頭小段61~90地號,432.0,都市：其他:農業區,,,1091110,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,3009,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLOLKIPFFDQ67EA,0.0,0.0,0.0,無,
竹崎鄉,土地,緞厝寮段31~60地號,105.0,,鄉村區,乙種建築用地,1091216,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,9524,,0.0,0,未登記建物；,RPQNMLOLKIPFFEQ17DA,0.0,0.0,0.0,無,
太保市,房地(土地+建物),過溝里過溝31~60號,71.0,都市：其他:住宅區,,,1091124,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830215,158.73,5,2,3,有,無,5000000,31500,,0.0,0,土地價款:320萬元正建物價款:180萬元正其他增建；,RPUNMLNLKIPFFDQ37DA,124.85,33.88,0.0,無,0088
水上鄉,土地,中庄段1861~1890地號,153.98,,鄉村區,乙種建築用地,1091208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,16236,,0.0,0,,RPQNMLOLKIPFFDQ07DA,0.0,0.0,0.0,無,0089
太保市,房地(土地+建物),太保里太保181~210號,92.04,都市：其他:住宅區,,,1091122,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1061025,191.51,4,2,4,有,無,6850000,35768,,0.0,0,,RPUNMLOLKIPFFDQ47DA,177.97,0.0,13.35,無,
水上鄉,土地,忠和段1111~1140地號,64.02,,鄉村區,乙種建築用地,1091216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,7810,,0.0,0,未登記建物；,RPWNMLOLKIPFFDQ67DA,0.0,0.0,0.0,無,
水上鄉,土地,大堀尾段大堀小段301~330地號,1514.0,,特定農業區,農牧用地,1091123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8701715,5748,,0.0,0,,RPTNMLSJKIPFFDQ57DA,0.0,0.0,0.0,無,
太保市,土地,新舊埤段1351~1380地號,61.46,,鄉村區,乙種建築用地,1091211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,7322,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLLKKIPFFDQ37DA,0.0,0.0,0.0,無,
