鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
前鎮區,建物,高雄市前鎮區民權二路210巷1~30號,0.0,商,,,1100123,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700223,66.84,3,2,2,有,無,有,7500,112,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPWNMLTLJHGGFCE58CC
小港區,建物,高雄市小港區中鋼路61~90號,0.0,住,,,1100112,土地0建物1車位0,見其它登記事項,12,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1041216,86.55,2,1,1,有,有,有,14000,162,,0.0,0,,RPPOMLTLJHGGFCE97CC
三民區,房地(土地+建物),高雄市三民區建國二路1~30號,213.0,商,,,1100112,土地1建物1車位0,全,4,透天厝,,鋼筋混凝土造,0630324,393.28,0,0,0,無,無,無,100000,254,,0.0,0,110.01.13~110.02.12為裝潢期免付租金,RPOOMLTLJHGGFDE97CC
三民區,建物,高雄市三民區建國二路61~90號,0.0,商,,,1100113,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0610401,286.73,0,0,0,無,無,無,60000,209,,0.0,0,110.01.13~110.04.10為裝潢期免付租金,RPPOMLTLJHGGFDE08CC
三民區,建物,高雄市三民區懷安街31~60號,0.0,住,,,1100122,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700103,88.69,3,2,2,有,無,有,6500,73,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPQOMLTLJHGGFDE18CC
三民區,建物,高雄市三民區水源路217巷1~30號,0.0,住,,,1100123,土地0建物1車位0,九層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010605,87.27,2,2,2,有,有,有,16700,191,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPROMLTLJHGGFDE28CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1100127,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070820,30.26,1,0,1,有,無,有,5500,182,,0.0,0,面樹林採光不好,RPROMLTLJHGGFFE48CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1100128,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070820,30.26,1,0,1,有,無,有,5500,182,,0.0,0,面樹林採光不好,RPUOMLTLJHGGFFE78CC
橋頭區,建物,高雄市橋頭區仕豐南路仕龍西巷1~30號,0.0,住,,,1100120,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0660224,89.2,2,2,2,有,無,有,8000,90,,0.0,0,住宅及都市更新中心社會住宅包租代管計畫,RPOPMLTLJHGGFFE28CC
燕巢區,建物,高雄市燕巢區橫山路91~120號,0.0,,特定農業區,甲種建築用地,1100107,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070820,33.519999999999996,1,0,1,有,無,有,7500,224,,0.0,0,雙人房,RPTPMLTLJHGGFFE78CC
左營區,房地(土地+建物)+車位,高雄市左營區華欣路91~120號,23.25,住,,,1100128,土地1建物1車位1,二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0801213,178.51,4,2,2,有,有,有,19000,106,坡道機械,0.0,0,,RPXNMLTLJHGGFEE88CC
左營區,建物,高雄市左營區博愛三路1~30號,0.0,商,,,1100121,土地0建物1車位0,十層,24,辦公商業大樓,見使用執照,鋼筋混凝土造,0811111,165.58,0,0,0,無,無,有,25000,151,,0.0,0,屋主自行分割,RPOQMLTLJHGGFEE28CC
左營區,房地(土地+建物),高雄市左營區曾子路274巷1~30號,17.36,住,,,1100102,土地1建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040410,133.5,3,2,2,有,有,有,30000,225,,0.0,0,,RPRNMLKMJHGGFEE47CC
左營區,房地(土地+建物)+車位,高雄市左營區文自路301~330號,9.29,商,,,1100103,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080718,105.12,2,2,1,有,有,有,22000,209,塔式車位,15.8,0,,RPPPMLKMJHGGFEE47CC
左營區,房地(土地+建物),高雄市左營區華夏路1321~1350號,8.41,住,,,1100104,土地1建物1車位0,五層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871110,121.21000000000001,3,2,2,有,有,有,17000,140,,0.0,0,,RPXQMLKMJHGGFEE38CC
左營區,房地(土地+建物),高雄市左營區新上街301~330號,23.64,住,,,1100105,土地1建物1車位0,二層,5,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0701203,73.16,3,2,2,有,無,有,15000,205,,0.0,0,,RPXSMLKMJHGGFEE58CC
