鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,建物,臺北市中山區吉林路8巷1~30號,0.0,住,,,1091130,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971023,131.51999999999998,3,2,2,有,有,有,70000,532,,0.0,0,,RPOPMLMKKIPFFCA77CC
中山區,建物,臺北市中山區建國北路三段61~90號,0.0,住,,,1091130,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,74.94999999999999,1,1,1,有,有,有,50000,667,,0.0,0,,RPPPMLMKKIPFFCA87CC
中山區,建物,臺北市中山區林森北路361~390號,0.0,商,,,1091115,土地0建物1車位0,十五層,18,辦公商業大樓,商業用,鋼筋混凝土造,0980916,66.62,1,1,1,有,有,有,50000,751,,0.0,0,,RPQPMLMKKIPFFCA97CC
中山區,建物,臺北市中山區吉林路98巷1~30號,0.0,商,,,1091121,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0570417,92.8,4,1,1,有,無,無,26000,280,,0.0,0,,RPPNMLOKKIPFFCA87CC
中山區,建物,臺北市中山區中山北路三段31~60號,0.0,其他,,,1091124,土地0建物1車位0,六層,8,辦公商業大樓,商業用,鋼筋混凝土造,0620528,219.31,0,0,0,無,無,無,107000,488,,0.0,0,分割604室 室內66.34坪,RPWNMLOKKIPFFCA58CC
中山區,建物,臺北市中山區長安西路26巷1~30號,0.0,商,,,1091130,土地0建物1車位0,一層,4,店面(店鋪),商業用,鋼筋混凝土造,0610211,69.51,0,0,0,無,無,無,33000,475,,0.0,0,,RPPOMLOKKIPFFCA97CC
中山區,建物,臺北市中山區中山北路二段61~90號,0.0,商,,,1091118,土地0建物1車位0,三層,11,辦公商業大樓,商業用,鋼筋混凝土造,0590403,181.75,0,0,0,無,無,無,78000,429,,0.0,0,分割305室 室內54.98坪,RPQOMLOKKIPFFCA08CC
中山區,建物,臺北市中山區長春路301~330號,0.0,商,,,1091118,土地0建物1車位0,九層,11,辦公商業大樓,商業用,鋼筋混凝土造,0820309,284.88,5,1,0,有,有,有,120000,421,,0.0,0,,RPUPMLOKKIPFFCA58CC
中山區,建物,臺北市中山區民生東路二段1~30號,0.0,商,,,1091203,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730702,97.43,2,1,1,有,無,有,31786,326,,0.0,0,,RPOQMLOKKIPFFCA08CC
中山區,建物,臺北市中山區松江路211~240號,0.0,其他,,,1091125,土地0建物1車位0,十三層,18,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1030703,1856.2599999999998,0,0,0,無,有,無,1621389,873,,0.0,0,租金含稅。,RPUQMLOKKIPFFCA68CC
萬華區,建物,臺北市萬華區桂林路31~60號,0.0,其他,,,1091120,土地0建物0車位0,全,5,透天厝,,加強磚造,,80.44,3,1,1,有,無,有,20000,249,,0.0,0,含稅。,RPRNMLOKKIPFFBA97CC
萬華區,建物,臺北市萬華區德昌街185巷2弄1~30號,0.0,住,,,1091209,土地0建物1車位0,全,2,透天厝,,加強磚造,,58.74,2,1,1,有,無,無,17000,289,,0.0,0,,RPSPMLOKKIPFFBA28CC
萬華區,建物,臺北市萬華區寶興街80巷31~60號,0.0,住,,,1091214,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0610414,81.2,1,1,1,有,無,無,22000,271,,0.0,0,,RPTPMLOKKIPFFBA38CC
信義區,建物,臺北市信義區忠孝東路五段451~480號,0.0,其他,,,1091120,土地0建物1車位0,十層,11,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0941006,40.54,1,1,1,有,有,有,30000,740,,0.0,0,含增建或未登記建物。；租金含管理費。,RPQNMLOKKIPFFDA08CC
南港區,房地(土地+建物),臺北市南港區東新街118巷31~60號,11.95,住,,,1091211,土地1建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010314,98.66,3,2,2,有,無,有,33000,334,,0.0,0,,RPXNMLOKKIPFFDA78CC
南港區,建物,臺北市南港區興南街1~30號,0.0,工,,,1091125,土地0建物1車位1,十二層,12,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0950621,200.11,0,0,0,無,有,有,47679,238,坡道平面,38.02,0,,RPQOMLOKKIPFFDA18CC
松山區,建物,臺北市松山區市民大道五段151~180號,21.8,住,,,1091210,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0840523,118.4,0,0,0,無,無,有,40000,338,,0.0,0,,RPXOMLOKKIPFFDA88CC
松山區,建物,臺北市松山區東興路1~30號,0.0,住,,,1091210,土地0建物1車位0,十五層,16,辦公商業大樓,見使用執照,鋼骨混凝土造,0850524,288.91,8,1,0,有,有,有,110000,381,,0.0,0,,RPOPMLOKKIPFFDA08CC
北投區,建物,臺北市北投區公?路209巷36弄1~30號,0.0,住,,,1091109,土地0建物1車位0,一層,6,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600505,60.9,2,1,1,有,無,有,14000,230,,0.0,0,,RPTNMLOKKIPFFEA48CC
北投區,建物,臺北市北投區中央南路二段1~30號,16.91,工,,,1091130,土地0建物1車位1,三層,19,其他,見其他登記事項,鋼筋混凝土造,1040828,107.44,0,0,0,無,有,無,33750,314,坡道平面,31.98,0,,RPWOMLOKKIPFFEA88CC
士林區,建物,臺北市士林區德行東路331巷1~30號,0.0,住,,,1091126,土地0建物1車位2,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920331,304.77,4,2,2,有,有,有,95000,312,坡道平面,82.26,0,租金含管理費。,RPQPMLOKKIPFFEA38CC
大安區,建物,臺北市大安區安和路一段127巷1~30號,0.0,住,,,1091209,土地0建物1車位0,一層,7,店面(店鋪),住商用,鋼筋混凝土造,0720721,145.92,0,0,0,無,無,有,100000,685,,0.0,0,,RPPNMLOKKIPFFFA18CC
大安區,建物,臺北市大安區敦化南路二段31~60號,0.0,其他,,,1091210,土地0建物1車位0,八層,20,辦公商業大樓,商業用,鋼筋混凝土造,0720714,233.10999999999999,2,0,0,有,有,無,128000,549,,0.0,0,,RPOOMLOKKIPFFFA18CC
文山區,建物,臺北市文山區興隆路三段152巷1~30號,0.0,住,,,1091126,土地0建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,1090115,87.57,0,0,0,無,有,有,40000,457,,0.0,0,租金含管理費。,RPTPMLOKKIPFFAA28CC
中山區,建物,臺北市中山區林森北路145巷31~60號,24.75,商,,,1091202,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640731,72.02,3,1,2,有,無,有,25000,347,,0.0,0,,RPRQMLOKKIPFFCA48DC
大安區,房地(土地+建物),臺北市大安區敦化南路二段151~180號,11.02,商,,,1091211,土地1建物1車位0,十層,12,辦公商業大樓,住家用,鋼筋混凝土造,0750825,129.75,2,1,1,有,有,有,43000,331,,0.0,0,,RPVPMLPKKIPFFFA09CC
大安區,建物,臺北市大安區大安路二段31~60號,0.0,住,,,1091106,土地0建物1車位0,一層,4,店面(店鋪),住家用,鋼筋混凝土造,0600106,88.68,0,1,1,有,無,有,70000,789,,0.0,0,,RPQQMLPKKIPFFFA68CC
大安區,建物,臺北市大安區光復南路420巷1~30號,0.0,住,,,1091109,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0691101,159.25,0,1,2,有,無,無,80000,502,,0.0,0,,RPRQMLPKKIPFFFA78CC
大安區,建物,臺北市大安區復興南路一段211~240號,0.0,商,,,1091106,土地0建物2車位0,三層,12,辦公商業大樓,商業用,鋼筋混凝土造,0771126,258.17,0,0,0,無,無,有,140000,542,,0.0,0,,RPSQMLPKKIPFFFA88CC
士林區,建物,臺北市士林區後港街121~150號,0.0,工,,,1091119,土地0建物1車位1,十層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990128,245.9,3,2,2,有,有,有,100000,407,坡道平面,0.0,0,,RPQPMLPKKIPFFEA48CC
北投區,房地(土地+建物),臺北市北投區中央北路四段391~420號,74.72,住,,,1091205,土地1建物1車位0,見其他登記事項,2,公寓(5樓含以下無電梯),住家用,加強磚造,0610914,141.5,5,0,3,有,無,有,40000,283,,0.0,0,,RPSPMLPKKIPFFEA68CC
北投區,建物,臺北市北投區大同街188巷1~30號,0.0,住,,,1091113,土地0建物1車位0,一層,2,公寓(5樓含以下無電梯),住家用,加強磚造,0590216,61.91,2,1,1,有,無,有,15000,242,,0.0,0,,RPUPMLPKKIPFFEA88CC
信義區,建物,臺北市信義區和平東路三段391巷8弄1~30號,0.0,住,,,1091211,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,45.84,1,1,1,有,無,有,18200,397,,0.0,0,,RPOQMLPKKIPFFDA28CC
松山區,房地(土地+建物),臺北市松山區健康路325巷12弄1~30號,36.17,住,,,1091211,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751020,114.76,3,2,2,有,無,有,30000,261,,0.0,0,,RPPQMLPKKIPFFDA38CC
松山區,建物,臺北市松山區健康路151~180號,0.0,住,,,1091211,土地0建物1車位0,一層,13,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0670720,165.26,0,1,1,有,有,無,90000,545,,0.0,0,第一年出租方補貼承租方裝潢費用故每月租金為9萬元第二.三年租金為新台幣10萬元.,RPSQMLPKKIPFFDA68CC
中正區,建物,臺北市中正區杭州南路一段77巷1~30號,0.0,住,,,1091211,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,74.8,3,2,2,有,無,有,21000,281,,0.0,0,,RPVNMLPKKIPFFBA48CC
大同區,建物,臺北市大同區雙連街53巷1~30號,0.0,商,,,1091208,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),,加強磚造,,55.45,2,1,1,有,無,有,22000,397,,0.0,0,,RPPOMLPKKIPFFBA97CC
萬華區,房地(土地+建物),臺北市萬華區武成街28巷9弄1~30號,73.0,住,,,1091205,土地1建物1車位0,一層,2,公寓(5樓含以下無電梯),,加強磚造,,54.81,0,0,0,無,無,有,16000,292,,0.0,0,,RPQPMLPKKIPFFBA18CC
內湖區,建物,臺北市內湖區金龍路211~240號,0.0,住,,,1091118,土地0建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090113,156.36,3,2,2,有,有,有,35523,227,坡道平面,41.4,0,,RPORMLPKKIPFFCA28CC
中山區,房地(土地+建物),臺北市中山區松江路271~300號,20.84,商,,,1090921,土地2建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0590131,162.02,4,2,2,有,有,無,58000,358,,0.0,0,租金含管理費3000元實際租約109年10月10日起租,RPTRMLPKKIPFFCA78CC
中山區,建物,臺北市中山區錦州街426巷1弄1~30號,0.0,住,,,1091128,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0580315,88.82,2,2,2,有,有,有,30000,338,,0.0,0,,RPWRMLPKKIPFFCA09CC
中山區,建物,臺北市中山區林森北路331~360號,0.0,商,,,1091128,土地0建物1車位0,十三層,24,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1021101,110.72,2,2,1,有,有,有,65000,587,,0.0,0,含管理費、稅金或水電等費用。；,RPVNMLQKKIPFFCA68CC
中山區,建物,臺北市中山區中山北路二段65巷1~30號,0.0,商,,,1091128,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090428,111.81,2,2,1,有,有,有,76000,680,,0.0,0,含管理費、稅金或水電等費用。；,RPWNMLQKKIPFFCA78CC
中山區,建物,臺北市中山區長春路301~330號,0.0,商,,,1091208,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0940516,196.60000000000002,2,2,2,有,有,有,71000,361,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPOPMLQKKIPFFCA18CC
中山區,建物,臺北市中山區松江路1~30號,0.0,商,,,1091127,土地0建物1車位0,一層,15,店面(店鋪),商業用,鋼筋混凝土造,0851212,96.97999999999999,0,1,1,有,有,有,52000,536,,0.0,0,含稅。,RPPPMLQKKIPFFCA28CC
中山區,建物,臺北市中山區遼寧街62巷1~30號,0.0,住,,,1091127,土地0建物1車位0,二層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980123,52.95,1,1,1,有,無,有,24500,463,,0.0,0,,RPTPMLQKKIPFFCA68CC
中山區,建物,臺北市中山區中山北路二段27巷1~30號,0.0,商,,,1091207,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660929,25.87,1,0,1,有,有,有,10000,387,,0.0,0,住宅及都市更新中心108年社會住宅包租代管第二期計畫,RPORMLQKKIPFFCA38CC
