鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
富里鄉,土地,竹田段61~90地號,121.32,,鄉村區,乙種建築用地,1090528,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,14837,,0.0,0,含增建或未登記建物。;地上有未辦保存登記之建物,RPPNMLSKOHPFFCU77CA,0.0,0.0,0.0,
玉里鎮,土地,樂合段2251~2280地號,27980.0,,森林區,農牧用地,1090527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4700000,168,,0.0,0,,RPPNMLTKOHPFFCU87CA,0.0,0.0,0.0,
玉里鎮,房地(土地+建物),花蓮縣玉里鎮城東三街31~60號,105.0,住,,,1080522,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090320,220.66,5,1,5,有,無,9200000,41693,,0.0,0,,RPPNMLQJPHPFFCU57CA,202.92,0.0,17.74,
玉里鎮,土地,酸柑段151~180地號,785.38,,一般農業區,農牧用地,1090610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,1082,,0.0,0,畸零地或有合併使用之交易。;,RPPNMLMLOHPFFCU27CA,0.0,0.0,0.0,
鳳林鎮,土地,北林段271~300地號,2805.17,,特定農業區,甲種建築用地,1090421,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17800000,6345,,0.0,0,含未辦保存登記房屋1棟,RPPNMLSKOHPFFBU67CA,0.0,0.0,0.0,
光復鄉,土地,西富段871~900地號,505.63,,特定農業區,農牧用地,1090516,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,3955,,0.0,0,包含農業設施種植香菇寮室,RPPNMLQJPHPFFBU47CA,0.0,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市博愛街91~120號,267.0,商,,,1090520,土地8建物2車位0,全,三層,透天厝,住商用,鋼筋混凝土造,,646.67,0,0,0,無,無,40660000,62876,,0.0,0,含增建或未登記建物。;,RPVOMLQKOHPFFAU18DA,646.67,0.0,0.0,
秀林鄉,土地,克來寶段61~90地號,414.16,住,,,1090606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,5553,,0.0,0,,RPPOMLSKOHPFFAU77DA,0.0,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市化道路101巷1~30號,130.0,住,,,1090429,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0650216,101.08,4,2,2,有,無,5700000,56391,,0.0,0,,RPSOMLLJPHPFFAU37DA,101.08,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市福建街391~420號,9.3,商,,,1090312,土地1建物1車位0,七層,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1090102,54.08,1,1,1,有,有,3750000,69342,,0.0,0,,RPRNMLNJPHPFFAU27CA,31.09,0.0,3.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市建中街15巷1~30號,217.0,住,,,1090423,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0620703,137.08,4,2,2,有,無,16000000,116720,,0.0,0,,RPSNMLKLOHPFFAU17CA,137.08,0.0,0.0,
花蓮市,房地(土地+建物),花蓮縣花蓮市德安六街91~120號,15.67,住,,,1090601,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870403,93.05000000000001,2,2,1,有,無,3800000,40838,,0.0,0,,RPXNMLKLOHPFFAU67CA,64.37,0.0,7.75,
新城鄉,房地(土地+建物),花蓮縣新城鄉北三棧151~180號,599.11,,一般農業區,農牧用地,1090529,土地1建物1車位0,一層，二層，三層，屋頂突出物,三層,農舍,農舍,鋼筋混凝土造,1040828,192.43,2,1,4,有,無,8500000,,,0.0,0,,RPQPMLKLOHPFFAU17CA,160.16,6.31,25.96,
花蓮市,房地(土地+建物),花蓮縣花蓮市國富五街31~60號,106.0,住,,,1090521,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0890203,238.0,4,2,3,有,無,11500000,48319,,0.0,0,,RPXOMLSKOHPFFAU48CA,204.92,0.0,33.08,
新城鄉,房地(土地+建物),花蓮縣新城鄉大華街1~30號,278.12,,鄉村區,乙種建築用地,1090525,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701005,173.02,4,2,5,有,無,9600000,55485,,0.0,0,,RPOPMLSKOHPFFAU67CA,173.02,0.0,0.0,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉東海六街1~30號,22.2,商,,,1080808,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820819,103.22999999999999,3,2,1,有,無,2730000,26446,,0.0,0,,RPRPMLSKOHPFFAU97CA,82.81,0.0,4.32,
