鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
魚池鄉,房地(土地+建物),平和巷61~90號,899.96,,特定農業區,農牧用地,1090514,土地1建物1車位0,全,一層,透天厝,農舍,見其他登記事項,0981118,9.0,0,0,0,無,無,4000000,444444,,0.0,0,農作物;,RPRNMLMJPHPFFCM66DA,9.0,0.0,0.0,無
國姓鄉,土地,龜溝段211~240地號,449.5,,特定農業區,甲種建築用地,1090602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3700000,8231,,0.0,0,,RPPNMLLJPHPFFCM98DA,0.0,0.0,0.0,無
埔里鎮,房地(土地+建物),南投縣埔里鎮九成街117巷1~30號,79.47,,鄉村區,乙種建築用地,1090423,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0701015,117.6,7,3,3,有,無,4700000,39966,,0.0,0,,RPROMLQJPHPFFCM07CA,112.9,0.0,4.7,
埔里鎮,土地,忠孝段241~270地號,176.79,住,,,1090521,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,50908,,0.0,0,,RPQOMLQKPHPFFCM07CA,0.0,0.0,0.0,
鹿谷鄉,土地,新初鄉段661~690地號,37.17,,一般農業區,丙種建築用地,1090518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,8071,,0.0,0,,RPQNMLSJPHPFFDM17CA,0.0,0.0,0.0,
鹿谷鄉,土地,新初鄉段661~690地號,37.17,,一般農業區,丙種建築用地,1090518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,8071,,0.0,0,,RPSNMLTJPHPFFDM47CA,0.0,0.0,0.0,
南投市,土地,大崗段571~600地號,1393.0,,工業區,丁種建築用地,1090519,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52000000,37330,,0.0,0,,RPVOMLLJPHPFFAM86DA,0.0,0.0,0.0,無
南投市,房地(土地+建物),文化南路81巷1~30號,77.0,其他,,,1090507,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0851121,134.98,4,2,3,有,無,5000000,37043,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPOOMLMJPHPFFAM88DA,134.98,0.0,0.0,無
南投市,房地(土地+建物),中山街224巷1~30號,70.0,其他,,,1090617,土地1建物1車位0,全,三層,透天厝,住家用,鋼造,0900406,172.47,6,3,3,有,無,7800000,45225,,0.0,0,,RPROMLMJPHPFFAM56DA,172.47,0.0,0.0,無
草屯鎮,土地,新興段211~240地號,680.0,,鄉村區,乙種建築用地,1090527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15633200,22990,,0.0,0,,RPRPMLSJPHPFFBM27CA,0.0,0.0,0.0,
